"µ¥´Ê","´ÎÊý"
"1","13"
"2","5"
"reverted","1"
"3","5"
"adorations","1"
"4","5"
"5","4"
"6","5"
"Bernardine","2"
"7","2"
"8","3"
"majestic","7"
"9","6"
"Therapontigonus","1"
"A","514"
"B","24"
"twists","2"
"C","25"
"D","60"
"E","2"
"caressed","2"
"F","1"
"G","12"
"H","1"
"I","1746"
"freezing","1"
"J","4"
"L","15"
"M","569"
"prebends","2"
"Jussieu","1"
"N","6"
"O","33"
"P","9"
"R","8"
"S","12"
"T","34"
"slate","1"
"caresses","3"
"V","18"
"poolin","1"
"X","12"
"brightened","1"
"Y","3"
"Z","1"
"a","6875"
"Brulart","1"
"Moniteur","8"
"c","1"
"d","63"
"resuming","1"
"e","1"
"slats","3"
"i","1"
"j","2"
"l","52"
"Pardalisca","1"
"m","7"
"functionaries","2"
"n","1"
"o","97"
"Volume","2"
"p","1"
"s","913"
"knuckle","1"
"t","62"
"u","2"
"v","1"
"chopper","1"
"described","11"
"y","1"
"10","3"
"11","2"
"12","3"
"Gnon","1"
"ballad","1"
"13","4"
"14","5"
"15","3"
"succession","10"
"16","3"
"17","3"
"chapters","1"
"18","10"
"Orfevres","1"
"19","2"
"Ephestion","2"
"famished","2"
"embers","1"
"describes","1"
"Guidonis","2"
"misfortunes","2"
"fiery","2"
"assigned","3"
"LAFFITTE","1"
"morbigou","1"
"rushed","14"
"indebted","4"
"Vaugirard","16"
"metaphors","2"
"retaken","1"
"Duplat","3"
"slave","9"
"difference","26"
"20","3"
"21","2"
"22","2"
"23","5"
"groans","2"
"24","6"
"25","5"
"27","1"
"rushes","1"
"29","2"
"monotonies","1"
"punic","1"
"Mahomet","1"
"firedogs","1"
"Archbishop","11"
"wholesome","1"
"sends","6"
"Copeau","1"
"definition","1"
"complexion","4"
"punit","1"
"Baville","1"
"officers","16"
"30","1"
"obscene","2"
"emptied","3"
"smouldering","1"
"Huguenot","3"
"Helena","5"
"2d","1"
"excessive","10"
"Helene","2"
"shopkeeper","2"
"sermon","6"
"Bombardas","1"
"Aeschylus","1"
"spinster","11"
"baptismal","5"
"empties","4"
"lately","1"
"reasons","11"
"revolt","3"
"academician","1"
"alarmed","17"
"Counterfeiting","1"
"alley","23"
"impoverishment","1"
"measureless","1"
"carbuncles","1"
"convalescents","1"
"exchange","4"
"49","1"
"fervent","1"
"Serious","1"
"Diogenes","4"
"War","5"
"Was","24"
"glimpses","6"
"Conversations","1"
"50","14"
"52","13"
"currit","1"
"flasks","1"
"antennae","2"
"Merchant","1"
"laughed","23"
"slays","1"
"latent","4"
"appropriate","2"
"Quelen","1"
"Tyranny","1"
"imprecation","1"
"republic","4"
"62","6"
"title","11"
"INTO","4"
"prowling","3"
"float","3"
"69","1"
"departs","2"
"stabbed","2"
"unjust","8"
"Silenus","2"
"doctrine","2"
"invade","1"
"amelioration","1"
"enticing","1"
"ordinarily","5"
"affluent","1"
"month","29"
"chained","4"
"Pasha","1"
"neighbors","9"
"turnovers","2"
"admitting","4"
"Bernardines","19"
"azure","7"
"Aubert","1"
"successive","10"
"flock","5"
"nervous","1"
"hydraulic","1"
"82","1"
"87","3"
"lancers","3"
"89","6"
"Menilmontant","1"
"blackguard","7"
"superiors","1"
"opposition","5"
"Tenait","2"
"giants","4"
"books","12"
"habemus","1"
"abruptly","28"
"Aristogeiton","2"
"93","14"
"perspiring","1"
"Universe","1"
"among","84"
"Gagny","5"
"significance","4"
"definitive","5"
"truths","5"
"consciously","1"
"wanders","1"
"medium","6"
"ZIGZAGS","1"
